"","Country1","Country2","Period","pi_value","year"
"509",29,17,1,0.00389949609421486,2000
"510",30,17,1,0.00698155764097927,2000
"511",1,18,1,0.000672144986311616,2000
"512",2,18,1,0.00032912050517245,2000
"513",3,18,1,0.000943816388820692,2000
"514",4,18,1,0.00546819485617263,2000
"515",5,18,1,0.00036020284888453,2000
"516",6,18,1,0.000539738200554364,2000
"517",7,18,1,0.000459412038541445,2000
"518",8,18,1,0.000730898899079909,2000
"519",9,18,1,0.000112442093191242,2000
"520",10,18,1,0.000389320832671097,2000
"521",11,18,1,0.000739518066014746,2000
"522",12,18,1,0.000105915729407979,2000
"523",13,18,1,0.000833008671825475,2000
"524",14,18,1,0.000446308510298703,2000
"525",15,18,1,0.000153350432901511,2000
"526",16,18,1,0.000216711436178361,2000
"527",17,18,1,0.000204620232094198,2000
"528",18,18,1,0.832901804842096,2000
"529",19,18,1,0.000567080828629821,2000
"530",20,18,1,0.000224057530712632,2000
"531",21,18,1,0.000214879406170948,2000
"532",22,18,1,0.000561418180028117,2000
"533",23,18,1,6.21820262342668e-05,2000
"534",24,18,1,0.00142007969305622,2000
"535",25,18,1,0.000156753674596353,2000
"536",26,18,1,0.000213246405862333,2000
"537",27,18,1,0.000123449838092178,2000
"538",28,18,1,0.000170404646961239,2000
"539",29,18,1,0.0117632403120851,2000
"540",30,18,1,0.000356643012479878,2000
"541",1,19,1,0.00154931792625911,2000
"542",2,19,1,0.0067196677526335,2000
"543",3,19,1,0.000642112573127309,2000
"544",4,19,1,0.000969916200240442,2000
"545",5,19,1,0.00942921566001191,2000
"546",6,19,1,0.000647812242048354,2000
"547",7,19,1,0.0137047788513097,2000
"548",8,19,1,0.00539025190361693,2000
"549",9,19,1,0.00566788168973822,2000
"550",10,19,1,0.0077773608702472,2000
"551",11,19,1,0.00860803864134139,2000
"552",12,19,1,0.00791223728882829,2000
"553",13,19,1,0.0036017485744906,2000
"554",14,19,1,0.00124394001842987,2000
"555",15,19,1,0.00529360266135569,2000
"556",16,19,1,0.000353732138949621,2000
"557",17,19,1,0.000479531439434887,2000
"558",18,19,1,0.000936229827937898,2000
"559",19,19,1,0.654508257966866,2000
"560",20,19,1,0.00748334153476108,2000
"561",21,19,1,0.00572011789896767,2000
"562",22,19,1,0.00568291307177312,2000
"563",23,19,1,0.0036158806493723,2000
"564",24,19,1,0.00299625123140232,2000
"565",25,19,1,0.00332145934124854,2000
"566",26,19,1,0.00416175030660779,2000
"567",27,19,1,0.0113246075450741,2000
"568",28,19,1,0.00187288310922294,2000
"569",29,19,1,0.000936241385409864,2000
"570",30,19,1,0.013876872785902,2000
"571",1,20,1,0.000266920995533421,2000
"572",2,20,1,0.000451354580543641,2000
"573",3,20,1,0.00024605340074827,2000
"574",4,20,1,0.0029798626735103,2000
"575",5,20,1,0.000914742240736643,2000
"576",6,20,1,0.000116360576992622,2000
"577",7,20,1,0.0029742585571526,2000
"578",8,20,1,0.00111163968876305,2000
"579",9,20,1,0.00515649967475558,2000
"580",10,20,1,0.00357612188331499,2000
"581",11,20,1,0.00425903599500366,2000
"582",12,20,1,0.00308543777517781,2000
"583",13,20,1,0.00014146543625792,2000
"584",14,20,1,0.000159991287266371,2000
"585",15,20,1,0.000732712276374109,2000
"586",16,20,1,0.000254359660966071,2000
"587",17,20,1,0.000315991421170103,2000
"588",18,20,1,0.000119546805842121,2000
"589",19,20,1,0.00460396704193194,2000
"590",20,20,1,0.771936273176637,2000
"591",21,20,1,0.00141121467406726,2000
"592",22,20,1,0.00215808306330017,2000
"593",23,20,1,0.000667602210960745,2000
"594",24,20,1,0.0205435580277986,2000
"595",25,20,1,0.000395864808572154,2000
"596",26,20,1,0.00061376634888957,2000
"597",27,20,1,0.0140123263774878,2000
"598",28,20,1,0.000183959289747206,2000
"599",29,20,1,0.000426273724692158,2000
"600",30,20,1,0.00147375274677386,2000
"601",1,21,1,8.41688463318031e-05,2000
"602",2,21,1,0.00310030197405329,2000
"603",3,21,1,6.83364937972919e-05,2000
"604",4,21,1,0.000311850646571669,2000
"605",5,21,1,0.00130405271154482,2000
"606",6,21,1,3.52682314717978e-05,2000
"607",7,21,1,0.00740045463529051,2000
"608",8,21,1,0.000779818668679985,2000
"609",9,21,1,0.00146456215630409,2000
"610",10,21,1,0.00171546612796142,2000
"611",11,21,1,0.00127995402600708,2000
"612",12,21,1,0.000763886475783667,2000
"613",13,21,1,0.000443239174601075,2000
"614",14,21,1,0.000239614500901499,2000
"615",15,21,1,0.00136515636009777,2000
"616",16,21,1,1.24936979655463e-05,2000
"617",17,21,1,2.90242723635771e-05,2000
"618",18,21,1,7.79854022115776e-05,2000
"619",19,21,1,0.00451501960838654,2000
"620",20,21,1,0.00260130871979615,2000
"621",21,21,1,0.810619146977765,2000
"622",22,21,1,0.00095080610521597,2000
"623",23,21,1,0.00317450115572561,2000
"624",24,21,1,0.00464491238701815,2000
"625",25,21,1,0.00966735511587716,2000
"626",26,21,1,0.00480007050722948,2000
"627",27,21,1,0.00391680986244255,2000
"628",28,21,1,0.000412338876280277,2000
"629",29,21,1,0.000141706111855092,2000
"630",30,21,1,0.00150930751353993,2000
"631",1,22,1,0.000482502155449481,2000
"632",2,22,1,0.000898171947902698,2000
"633",3,22,1,0.000250474738948721,2000
"634",4,22,1,0.000248055111396246,2000
"635",5,22,1,0.00132933041823653,2000
"636",6,22,1,1.41115043398629e-05,2000
"637",7,22,1,0.00161973467269421,2000
"638",8,22,1,0.00457670674395411,2000
"639",9,22,1,0.00099728039577665,2000
"640",10,22,1,0.00244413255555855,2000
"641",11,22,1,0.00178276126856367,2000
"642",12,22,1,0.000688850305204138,2000
"643",13,22,1,0.000372527898074745,2000
"644",14,22,1,3.23839449225235e-05,2000
"645",15,22,1,0.000560839748200227,2000
"646",16,22,1,3.25184341903845e-05,2000
"647",17,22,1,2.63807989666087e-05,2000
"648",18,22,1,9.77155257796744e-05,2000
"649",19,22,1,0.00198336817183532,2000
"650",20,22,1,0.00150223321677401,2000
"651",21,22,1,0.000440096671161256,2000
"652",22,22,1,0.809815542719639,2000
"653",23,22,1,0.000169354621453134,2000
"654",24,22,1,0.000128343131294607,2000
"655",25,22,1,0.000170863039945865,2000
"656",26,22,1,0.000140661135736294,2000
"657",27,22,1,0.00175607573493905,2000
"658",28,22,1,0.000101251323492719,2000
"659",29,22,1,0.000139427543911193,2000
"660",30,22,1,0.00186036553349287,2000
"661",1,23,1,1.85090259607511e-05,2000
